Title,Note,URL,Tags,Comment
,,,,
Longyin Temple,,https://www.google.com/maps/place/Longyin+Temple/data=!4m2!3m1!1s0x346eebc520106f27:0x5a384ee3b8881455,,
"鄒族 逐鹿文創園區-嘉義阿里山 原住民/鄒族風味料理/餐廳 十大推薦 2024必吃人氣餐廳 苦茶油雞/火鍋 
鄒族歌舞表演/親子旅遊/生態之旅/員工旅遊/家族旅遊 IG PTT Dcard",,https://www.google.com/maps/place/%E9%84%92%E6%97%8F+%E9%80%90%E9%B9%BF%E6%96%87%E5%89%B5%E5%9C%92%E5%8D%80-%E5%98%89%E7%BE%A9%E9%98%BF%E9%87%8C%E5%B1%B1+%E5%8E%9F%E4%BD%8F%E6%B0%91%2F%E9%84%92%E6%97%8F%E9%A2%A8%E5%91%B3%E6%96%99%E7%90%86%2F%E9%A4%90%E5%BB%B3+%E5%8D%81%E5%A4%A7%E6%8E%A8%E8%96%A6+2024%E5%BF%85%E5%90%83%E4%BA%BA%E6%B0%A3%E9%A4%90%E5%BB%B3+%E8%8B%A6%E8%8C%B6%E6%B2%B9%E9%9B%9E%2F%E7%81%AB%E9%8D%8B+%0A%E9%84%92%E6%97%8F%E6%AD%8C%E8%88%9E%E8%A1%A8%E6%BC%94%2F%E8%A6%AA%E5%AD%90%E6%97%85%E9%81%8A%2F%E7%94%9F%E6%85%8B%E4%B9%8B%E6%97%85%2F%E5%93%A1%E5%B7%A5%E6%97%85%E9%81%8A%2F%E5%AE%B6%E6%97%8F%E6%97%85%E9%81%8A+IG+PTT+Dcard/data=!4m2!3m1!1s0x346eebaf7c15ef71:0x96f0c707d1e23939,,
Hinoki Village,,https://www.google.com/maps/place/Hinoki+Village/data=!4m2!3m1!1s0x346e95cb6f3dbd39:0x91aebdd5300b0a8a,,
Xiangyi Xiaochi (21 noodle dishes),,https://www.google.com/maps/place/Xiangyi+Xiaochi+(21+noodle+dishes)/data=!4m2!3m1!1s0x346edc20ad38f71f:0x2ca4ed0111e4064d,,
Xinxin Restaurant,,https://www.google.com/maps/place/Xinxin+Restaurant/data=!4m2!3m1!1s0x346edea144acf379:0xdd700f6c9aff155c,,
阿里山迷糊步道,,https://www.google.com/maps/place/%E9%98%BF%E9%87%8C%E5%B1%B1%E8%BF%B7%E7%B3%8A%E6%AD%A5%E9%81%93/data=!4m2!3m1!1s0x346ee7f6b67b07b1:0x26268323cd0bab08,,
阿里山珠露茶-林園製茶 Lin Yuan Tea Factory,,https://www.google.com/maps/place/%E9%98%BF%E9%87%8C%E5%B1%B1%E7%8F%A0%E9%9C%B2%E8%8C%B6-%E6%9E%97%E5%9C%92%E8%A3%BD%E8%8C%B6+Lin+Yuan+Tea+Factory/data=!4m2!3m1!1s0x346ee81d144df613:0x90932ff5e0c38b3e,,
Trail of Tea,,https://www.google.com/maps/place/Trail+of+Tea/data=!4m2!3m1!1s0x346ec2a95863eb9f:0x3f4e7bbb34088d5d,,
Communities have to Enya Na - Little Switzerland - palms Village,,https://www.google.com/maps/place/Communities+have+to+Enya+Na+-+Little+Switzerland+-+palms+Village/data=!4m2!3m1!1s0x346edd10d8f71e1d:0xe9c9a14fe12a5e85,,
Dadongshan Lookout,,https://www.google.com/maps/place/Dadongshan+Lookout/data=!4m2!3m1!1s0x346edd313b674cc5:0x747e8fd13089423d,,
星空童話木屋,,https://www.google.com/maps/place/%E6%98%9F%E7%A9%BA%E7%AB%A5%E8%A9%B1%E6%9C%A8%E5%B1%8B/data=!4m2!3m1!1s0x346ec2c40ea8fc25:0x1d2522d96e1ad694,,
百年肖楠林,,https://www.google.com/maps/place/%E7%99%BE%E5%B9%B4%E8%82%96%E6%A5%A0%E6%9E%97/data=!4m2!3m1!1s0x346ec2c46fd7df71:0x7dc40cce83da286e,,
Fenchihu Hotel,,https://www.google.com/maps/place/Fenchihu+Hotel/data=!4m2!3m1!1s0x346ec2c4889b6237:0xc5be1ed203ff70f4,,
街仔尾阿嬤草仔粿,,https://www.google.com/maps/place/%E8%A1%97%E4%BB%94%E5%B0%BE%E9%98%BF%E5%AC%A4%E8%8D%89%E4%BB%94%E7%B2%BF/data=!4m2!3m1!1s0x346ec2a6aaaaaaab:0x131834ffb6a92908,,
奮起湖現烤甜甜圈，百年檜木甜甜圈,,https://www.google.com/maps/place/%E5%A5%AE%E8%B5%B7%E6%B9%96%E7%8F%BE%E7%83%A4%E7%94%9C%E7%94%9C%E5%9C%88%EF%BC%8C%E7%99%BE%E5%B9%B4%E6%AA%9C%E6%9C%A8%E7%94%9C%E7%94%9C%E5%9C%88/data=!4m2!3m1!1s0x346ec2bcd820cc37:0xffe1d013db1c153b,,
奮起湖小舍民宿鐵路便當,,https://www.google.com/maps/place/%E5%A5%AE%E8%B5%B7%E6%B9%96%E5%B0%8F%E8%88%8D%E6%B0%91%E5%AE%BF%E9%90%B5%E8%B7%AF%E4%BE%BF%E7%95%B6/data=!4m2!3m1!1s0x346ec2c3861f14f3:0x93addc4660b239c5,,
雅湖鐵路便當,,https://www.google.com/maps/place/%E9%9B%85%E6%B9%96%E9%90%B5%E8%B7%AF%E4%BE%BF%E7%95%B6/data=!4m2!3m1!1s0x346ec2c38f5157db:0x5b6d0e2865b41c75,,
鐵道山城懷舊鐵路便當,,https://www.google.com/maps/place/%E9%90%B5%E9%81%93%E5%B1%B1%E5%9F%8E%E6%87%B7%E8%88%8A%E9%90%B5%E8%B7%AF%E4%BE%BF%E7%95%B6/data=!4m2!3m1!1s0x346ec32e0a3de42b:0x67dac89fcefdc672,,
洪茶坊 HUNG CHA FANG,,https://www.google.com/maps/place/%E6%B4%AA%E8%8C%B6%E5%9D%8A+HUNG+CHA+FANG/data=!4m2!3m1!1s0x346ee9fa56eb04bb:0x75b075ea1ba91ef0,,
"璟隆咖啡莊園【營業時間以FB為準】精緻鍋物 阿里山精品咖啡 嘉義餐廳推薦 特色火鍋 藝伎咖啡廳首選 2024必去景觀餐廳好評 熱門人氣景點網美打卡 
隙頂美食 工業風景觀餐廳 阿里山家庭聚會 阿里山上精品咖啡 甜點下午茶",,https://www.google.com/maps/place/%E7%92%9F%E9%9A%86%E5%92%96%E5%95%A1%E8%8E%8A%E5%9C%92%E3%80%90%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E4%BB%A5FB%E7%82%BA%E6%BA%96%E3%80%91%E7%B2%BE%E7%B7%BB%E9%8D%8B%E7%89%A9+%E9%98%BF%E9%87%8C%E5%B1%B1%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1+%E5%98%89%E7%BE%A9%E9%A4%90%E5%BB%B3%E6%8E%A8%E8%96%A6+%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B+%E8%97%9D%E4%BC%8E%E5%92%96%E5%95%A1%E5%BB%B3%E9%A6%96%E9%81%B8+2024%E5%BF%85%E5%8E%BB%E6%99%AF%E8%A7%80%E9%A4%90%E5%BB%B3%E5%A5%BD%E8%A9%95+%E7%86%B1%E9%96%80%E4%BA%BA%E6%B0%A3%E6%99%AF%E9%BB%9E%E7%B6%B2%E7%BE%8E%E6%89%93%E5%8D%A1+%0A%E9%9A%99%E9%A0%82%E7%BE%8E%E9%A3%9F+%E5%B7%A5%E6%A5%AD%E9%A2%A8%E6%99%AF%E8%A7%80%E9%A4%90%E5%BB%B3+%E9%98%BF%E9%87%8C%E5%B1%B1%E5%AE%B6%E5%BA%AD%E8%81%9A%E6%9C%83+%E9%98%BF%E9%87%8C%E5%B1%B1%E4%B8%8A%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1+%E7%94%9C%E9%BB%9E%E4%B8%8B%E5%8D%88%E8%8C%B6/data=!4m2!3m1!1s0x346ee9033b1cdf81:0x108cdd1ea98a9a62,,
街角永富苦茶油雞,,https://www.google.com/maps/place/%E8%A1%97%E8%A7%92%E6%B0%B8%E5%AF%8C%E8%8B%A6%E8%8C%B6%E6%B2%B9%E9%9B%9E/data=!4m2!3m1!1s0x346ee817e7ccdfff:0x4c0e3ecb45fea54e,,
Meigu Restaurant,,https://www.google.com/maps/place/Meigu+Restaurant/data=!4m2!3m1!1s0x346ec2c4fed5b4a3:0xc173317240e4531d,,
奮起湖樂樂花園餐飲,,https://www.google.com/maps/place/%E5%A5%AE%E8%B5%B7%E6%B9%96%E6%A8%82%E6%A8%82%E8%8A%B1%E5%9C%92%E9%A4%90%E9%A3%B2/data=!4m2!3m1!1s0x346ec2c38a273cb1:0xfe2e5c66a97b66f1,,
Fang Mei Tingyuan Restaurant,,https://www.google.com/maps/place/Fang+Mei+Tingyuan+Restaurant/data=!4m2!3m1!1s0x346ec3f8c8555827:0xf40bc140890204c0,,
石棹 彤炘美食,,https://www.google.com/maps/place/%E7%9F%B3%E6%A3%B9+%E5%BD%A4%E7%82%98%E7%BE%8E%E9%A3%9F/data=!4m2!3m1!1s0x346ee81d0539d0ed:0x48bbc6c71e1cb88c,,
石桌羊肉店,,https://www.google.com/maps/place/%E7%9F%B3%E6%A1%8C%E7%BE%8A%E8%82%89%E5%BA%97/data=!4m2!3m1!1s0x346ee81db36550a3:0xe92c48ec05a2ee49,,
豊合豐禾 景觀餐廳,,https://www.google.com/maps/place/%E8%B1%8A%E5%90%88%E8%B1%90%E7%A6%BE+%E6%99%AF%E8%A7%80%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346ec1e99a11bb65:0x4742bf6381d27d28,,
佐一茶屋,,https://www.google.com/maps/place/%E4%BD%90%E4%B8%80%E8%8C%B6%E5%B1%8B/data=!4m2!3m1!1s0x346ee9e646b9d199:0x19bf14e6e3dfd4c,,
Feng Ba Restaurant,,https://www.google.com/maps/place/Feng+Ba+Restaurant/data=!4m2!3m1!1s0x346ee80238ed81d5:0x35fdb4fc5c379c2e,,
Fenrui Historic Trail,,https://www.google.com/maps/place/Fenrui+Historic+Trail/data=!4m2!3m1!1s0x346ec2d8fe67f867:0xa4b56cd14b8e7ac,,
Tea and Mist Trail 茶霧之道,,https://www.google.com/maps/place/Tea+and+Mist+Trail+%E8%8C%B6%E9%9C%A7%E4%B9%8B%E9%81%93/data=!4m2!3m1!1s0x346ee93c4fee3c65:0x5d2717dd24d6467,,
Eryanping Trail,,https://www.google.com/maps/place/Eryanping+Trail/data=!4m2!3m1!1s0x346eebdef368d8d5:0x25f95d4f61c0f75d,,
逐鹿傳說梅花鹿園,,https://www.google.com/maps/place/%E9%80%90%E9%B9%BF%E5%82%B3%E8%AA%AA%E6%A2%85%E8%8A%B1%E9%B9%BF%E5%9C%92/data=!4m2!3m1!1s0x346eeb4349e8cf11:0x6d96e31cc3d28083,,
山之埕－嘉義景點 親子旅遊園區 阿里山景點 好評 打卡景點 團體旅遊 阿里山 特色 雕刻藝術品 檜木藝品 檜木商品 文創商品 伴手禮推薦 2024評價,,https://www.google.com/maps/place/%E5%B1%B1%E4%B9%8B%E5%9F%95%EF%BC%8D%E5%98%89%E7%BE%A9%E6%99%AF%E9%BB%9E+%E8%A6%AA%E5%AD%90%E6%97%85%E9%81%8A%E5%9C%92%E5%8D%80+%E9%98%BF%E9%87%8C%E5%B1%B1%E6%99%AF%E9%BB%9E+%E5%A5%BD%E8%A9%95+%E6%89%93%E5%8D%A1%E6%99%AF%E9%BB%9E+%E5%9C%98%E9%AB%94%E6%97%85%E9%81%8A+%E9%98%BF%E9%87%8C%E5%B1%B1+%E7%89%B9%E8%89%B2+%E9%9B%95%E5%88%BB%E8%97%9D%E8%A1%93%E5%93%81+%E6%AA%9C%E6%9C%A8%E8%97%9D%E5%93%81+%E6%AA%9C%E6%9C%A8%E5%95%86%E5%93%81+%E6%96%87%E5%89%B5%E5%95%86%E5%93%81+%E4%BC%B4%E6%89%8B%E7%A6%AE%E6%8E%A8%E8%96%A6+2024%E8%A9%95%E5%83%B9/data=!4m2!3m1!1s0x346e9682eab82a0d:0xfeed5af7d957e768,,
Mountain Ali Tea No.35,,https://www.google.com/maps/place/Mountain+Ali+Tea+No.35/data=!4m2!3m1!1s0x346ede946fbeddf7:0xea0c439dc38dfde9,,
Shan Bin Restaurant,,https://www.google.com/maps/place/Shan+Bin+Restaurant/data=!4m2!3m1!1s0x346edea144acf379:0x2170482a7e9d5efa,,
Alishan Hotel,,https://www.google.com/maps/place/Alishan+Hotel/data=!4m2!3m1!1s0x346edd08e1a1b7b7:0x8579995f376a507f,,
Alishan National Forest Recreation Area,,https://www.google.com/maps/place/Alishan+National+Forest+Recreation+Area/data=!4m2!3m1!1s0x346edc20ac26153b:0xfff7f85ca03bbfd4,,
四方竹林,,https://www.google.com/maps/place/%E5%9B%9B%E6%96%B9%E7%AB%B9%E6%9E%97/data=!4m2!3m1!1s0x346ec2c37c0c4f35:0xfbbd137cfc1886d5,,
Fengqihu Logging Track 奮起湖木馬棧道,,https://www.google.com/maps/place/Fengqihu+Logging+Track+%E5%A5%AE%E8%B5%B7%E6%B9%96%E6%9C%A8%E9%A6%AC%E6%A3%A7%E9%81%93/data=!4m2!3m1!1s0x346ec2c4b8bb5d9b:0x8208addbae59000d,,
Fen Chi Hu Station,,https://www.google.com/maps/place/Fen+Chi+Hu+Station/data=!4m2!3m1!1s0x346ec2c483f5df0f:0x712e7b348e99a79d,,
Fenqihu Old Street,,https://www.google.com/maps/place/Fenqihu+Old+Street/data=!4m2!3m1!1s0x346ec2a6aaaaaaab:0xde130b38b878d000,,
觸口-天長橋,,https://www.google.com/maps/place/%E8%A7%B8%E5%8F%A3-%E5%A4%A9%E9%95%B7%E6%A9%8B/data=!4m2!3m1!1s0x346eebc5313d008b:0x1c167296d3d627fe,,
Chukou Niubu Aberdeen Prairie (Ali Love Silk Road No. 18),,https://www.google.com/maps/place/Chukou+Niubu+Aberdeen+Prairie+(Ali+Love+Silk+Road+No.+18)/data=!4m2!3m1!1s0x346eebb874fd20b3:0xc45658eb5b43f973,,
